Replace Part A4 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A4 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A4 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A4 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part H13 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H15 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H17 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H19 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part R17 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R19 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R21 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R23 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs13 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs15 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs17 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs19 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part V13 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V15 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V17 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V19 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led4.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
