Replace Part A3 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A3 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A3 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A3 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part H9 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H10 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H11 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H12 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part R9 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R10 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R11 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R12 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs9 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs10 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs11 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs12 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part V9 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V10 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V11 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V12 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led3.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
