Replace Part A2 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A2 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A2 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A2 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part H2 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H4 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H6 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H8 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part R2 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R4 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R6 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R8 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs2 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs4 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs6 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs8 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part V2 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V4 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V6 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V8 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led1.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
